Target Number,Indicator Number,Description,St. Code,State or Union Territory,Value,Processed Value,Final Value,Map Score,Score,Source
1,1.01,"Murder per 100,000",36,Telangana,2.68,43.89,43.89,1.32,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",16,Tripura,2.97,35.12,35.12,1.05,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",9,Uttar Pradesh,1.75,72.01,72.01,2.16,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",5,Uttarakhand,1.85,68.77,68.77,2.06,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",19,West Bengal,1.86,68.65,68.65,2.06,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",35,Andaman and Nicobar Islands,0.79,17.31,17.31,0.52,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",37,Andhra Pradesh,0.26,73.47,73.47,2.20,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",12,Arunachal Pradesh,0.14,85.51,85.51,2.57,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",18,Assam,0.19,81.13,81.13,2.43,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",10,Bihar,0.11,89.53,89.53,2.69,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",4,Chandigarh,0.57,40.60,40.60,1.22,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",22,Chhattisgarh,0.20,80.09,80.09,2.40,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",25,Dadra and Nagar Haveli and Daman and Diu,0.17,82.74,82.74,2.48,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",7,Delhi,0.54,44.03,44.03,1.32,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",30,Goa,0.27,71.77,71.77,2.15,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",24,Gujarat,0.21,78.91,78.91,2.37,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",6,Haryana,0.31,68.23,68.23,2.05,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",2,Himachal Pradesh,0.16,83.85,83.85,2.52,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",1,Jammu and Kashmir,0.20,79.23,79.23,2.38,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",20,Jharkhand,0.17,82.52,82.52,2.48,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",29,Karnataka,0.14,85.56,85.56,2.57,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",32,Kerala,0.28,71.01,71.01,2.13,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",35,Ladakh,0.00,100.82,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",31,Lakshadweep,0.00,100.82,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",23,Madhya Pradesh,0.25,73.84,73.84,2.22,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",27,Maharashtra,0.22,77.73,77.73,2.33,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",14,Manipur,0.04,96.70,96.70,2.90,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",17,Meghalaya,0.10,90.11,90.11,2.70,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",15,Mizoram,1.00,-5.39,0.00,0.00,red,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",13,Nagaland,0.30,68.69,68.69,2.06,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",21,Odisha,0.09,91.23,91.23,2.74,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",34,Puducherry,0.08,92.33,92.33,2.77,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",3,Punjab,0.94,0.77,0.77,0.02,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",8,Rajasthan,0.12,88.61,88.61,2.66,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",11,Sikkim,0.00,100.82,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",33,Tamil Nadu,0.12,88.20,88.20,2.65,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",36,Telangana,0.73,23.34,23.34,0.70,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",16,Tripura,0.00,100.82,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",9,Uttar Pradesh,0.62,35.08,35.08,1.05,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",5,Uttarakhand,0.43,55.66,55.66,1.67,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.03,"Culpable Homicide not amounting to Murder per 100,000",19,West Bengal,0.26,73.66,73.66,2.21,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",35,Andaman and Nicobar Islands,8.15,73.75,73.75,2.21,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",37,Andhra Pradesh,15.98,35.94,35.94,1.08,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",12,Arunachal Pradesh,8.53,71.91,71.91,2.16,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",18,Assam,9.19,68.72,68.72,2.06,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",10,Bihar,7.92,74.86,74.86,2.25,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",4,Chandigarh,7.30,77.86,77.86,2.34,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",22,Chhattisgarh,22.48,4.54,4.54,0.14,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",25,Dadra and Nagar Haveli and Daman and Diu,19.29,19.95,19.95,0.60,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",7,Delhi,10.04,64.59,64.59,1.94,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",30,Goa,12.34,53.50,53.50,1.60,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",24,Gujarat,11.62,56.99,56.99,1.71,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",6,Haryana,19.67,18.13,18.13,0.54,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",2,Himachal Pradesh,10.37,63.01,63.01,1.89,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",1,Jammu and Kashmir,5.16,88.17,88.17,2.65,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",20,Jharkhand,11.51,57.50,57.50,1.72,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",29,Karnataka,18.37,24.38,24.38,0.73,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",32,Kerala,10.69,61.49,61.49,1.84,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",35,Ladakh,23.36,0.31,0.31,0.01,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",31,Lakshadweep,0.00,113.08,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",23,Madhya Pradesh,18.29,24.79,24.79,0.74,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",27,Maharashtra,13.34,48.68,48.68,1.46,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",14,Manipur,4.16,92.98,92.98,2.79,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",17,Meghalaya,3.00,98.60,98.60,2.96,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",15,Mizoram,7.93,74.80,74.80,2.24,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",13,Nagaland,2.53,100.88,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",21,Odisha,12.27,53.84,53.84,1.62,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",34,Puducherry,10.74,61.24,61.24,1.84,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",3,Punjab,11.25,58.79,58.79,1.76,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",8,Rajasthan,15.07,40.35,40.35,1.21,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",11,Sikkim,9.66,66.43,66.43,1.99,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",33,Tamil Nadu,23.87,-2.18,0.00,0.00,red,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",36,Telangana,20.66,13.32,13.32,0.40,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",16,Tripura,6.53,81.54,81.54,2.45,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",9,Uttar Pradesh,11.41,58.00,58.00,1.74,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",5,Uttarakhand,3.86,94.46,94.46,2.83,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.07,"Death due to Negligence per 100,000",19,West Bengal,5.29,87.53,87.53,2.63,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",35,Andaman and Nicobar Islands,1.31,36.50,36.50,1.09,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",37,Andhra Pradesh,1.08,48.06,48.06,1.44,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",12,Arunachal Pradesh,0.22,89.65,89.65,2.69,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",18,Assam,0.50,76.09,76.09,2.28,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",10,Bihar,0.02,99.37,99.37,2.98,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",4,Chandigarh,0.76,63.43,63.43,1.90,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",22,Chhattisgarh,0.87,58.05,58.05,1.74,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",25,Dadra and Nagar Haveli and Daman and Diu,0.17,91.89,91.89,2.76,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",7,Delhi,0.43,79.09,79.09,2.37,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",30,Goa,0.21,90.19,90.19,2.71,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",24,Gujarat,0.82,60.39,60.39,1.81,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",6,Haryana,2.28,-10.32,0.00,0.00,red,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",2,Himachal Pradesh,1.06,48.63,48.63,1.46,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",1,Jammu and Kashmir,0.36,82.78,82.78,2.48,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",20,Jharkhand,0.40,80.77,80.77,2.42,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",29,Karnataka,1.12,46.07,46.07,1.38,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",32,Kerala,0.25,88.26,88.26,2.65,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",35,Ladakh,0.00,100.16,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",31,Lakshadweep,0.00,100.16,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",23,Madhya Pradesh,1.63,21.36,21.36,0.64,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",27,Maharashtra,1.22,40.87,40.87,1.23,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",14,Manipur,0.23,88.85,88.85,2.67,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",17,Meghalaya,0.20,90.36,90.36,2.71,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",15,Mizoram,0.00,100.16,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",13,Nagaland,0.00,100.16,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",21,Odisha,0.17,91.96,91.96,2.76,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",34,Puducherry,0.48,76.86,76.86,2.31,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",3,Punjab,2.04,1.47,1.47,0.04,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",8,Rajasthan,0.51,75.63,75.63,2.27,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",11,Sikkim,0.33,84.29,84.29,2.53,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",33,Tamil Nadu,0.40,80.75,80.75,2.42,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",36,Telangana,1.82,12.11,12.11,0.36,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",16,Tripura,0.41,80.37,80.37,2.41,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",9,Uttar Pradesh,0.51,75.64,75.64,2.27,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",5,Uttarakhand,0.56,73.25,73.25,2.20,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.05,"Abetment of Suicide per 100,000",19,West Bengal,0.80,61.56,61.56,1.85,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",35,Andaman and Nicobar Islands,2.10,90.47,90.47,2.71,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",37,Andhra Pradesh,3.26,81.31,81.31,2.44,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",12,Arunachal Pradesh,1.88,92.24,92.24,2.77,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",18,Assam,2.40,88.08,88.08,2.64,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",10,Bihar,8.33,41.12,41.12,1.23,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",4,Chandigarh,1.99,91.36,91.36,2.74,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",22,Chhattisgarh,2.95,83.76,83.76,2.51,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",25,Dadra and Nagar Haveli and Daman and Diu,1.02,99.01,99.01,2.97,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",7,Delhi,4.68,70.06,70.06,2.10,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",30,Goa,1.30,96.81,96.81,2.90,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",24,Gujarat,1.57,94.73,94.73,2.84,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",6,Haryana,3.85,76.61,76.61,2.30,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",2,Himachal Pradesh,1.08,98.59,98.59,2.96,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",1,Jammu and Kashmir,3.70,77.79,77.79,2.33,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",20,Jharkhand,8.68,38.34,38.34,1.15,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",29,Karnataka,5.08,66.85,66.85,2.01,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",32,Kerala,2.10,90.52,90.52,2.72,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",35,Ladakh,1.09,98.45,98.45,2.95,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",31,Lakshadweep,0.00,107.14,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",23,Madhya Pradesh,2.55,86.95,86.95,2.61,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",27,Maharashtra,3.10,82.59,82.59,2.48,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",14,Manipur,5.95,59.94,59.94,1.80,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",17,Meghalaya,1.55,94.84,94.84,2.85,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",15,Mizoram,1.73,93.41,93.41,2.80,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",13,Nagaland,1.31,96.72,96.72,2.90,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",21,Odisha,13.93,-3.28,0.00,0.00,red,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",34,Puducherry,1.76,93.16,93.16,2.79,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",3,Punjab,3.26,81.27,81.27,2.44,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",8,Rajasthan,3.73,77.52,77.52,2.33,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",11,Sikkim,1.64,94.15,94.15,2.82,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",33,Tamil Nadu,3.64,78.31,78.31,2.35,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",36,Telangana,4.29,73.16,73.16,2.19,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",16,Tripura,3.95,75.84,75.84,2.28,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",9,Uttar Pradesh,1.90,92.10,92.10,2.76,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",5,Uttarakhand,2.36,88.43,88.43,2.65,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.02,"Attempted Murder per 100,000",19,West Bengal,13.45,0.47,0.47,0.01,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.04,"Attempt to commit Culpable Homicide per 100,000",35,Andaman and Nicobar Islands,2.63,40.29,40.29,1.21,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.04,"Attempt to commit Culpable Homicide per 100,000",37,Andhra Pradesh,0.00,99.95,99.95,3.00,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.04,"Attempt to commit Culpable Homicide per 100,000",12,Arunachal Pradesh,0.00,100.00,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.04,"Attempt to commit Culpable Homicide per 100,000",18,Assam,0.01,99.78,99.78,2.99,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.04,"Attempt to commit Culpable Homicide per 100,000",10,Bihar,0.54,87.82,87.82,2.63,yellow,NCRB(IPCCrimes-2022)/Census(2011)
